order_id,order_date,product,category,region,customer_segment,quantity,unit_price,discount_pct,empty_col,
5000,2024-01-30,Notebook Set,Stationery,Central,Retail,N/A,11.98,N/A,,y
5001,2024-01-31,Office Chair,Furniture, North,Retail,2,unknown,N/A,,x
5002,2024-04-23,Mechanical Keyboard,Electronics,,,1,79.32,0,,y
5003,2024-04-02,USB-C Hub,Electronics,South,,,32.76,0,,y
5004,2024-12-14,Office Chair,Furniture,North,,-3,186.65,N/A,,z
5005,2024-12-23,Water Bottle,Accessories,South,Wholesale,6,15.25,5,,y
5006,2024-02-07,Mechanical Keyboard,Electronics,West,Online,12,77.35,0,,z
5007,2024-10-20,Water Bottle,Accessories,North,Retail,7,14.78,10,,x
5008,2024-08-30,Notebook Set,Stationery,north,Retail,8,12.58,15,,y
5009,2024-07-16,Mechanical Keyboard,Electronics,,N/A,11,unknown,15,,y
5010,2024-04-21,Notebook Set,Stationery,,Retail,3,unknown,10,,z
5011,2024-10-08,USB-C Hub,Electronics,north,Wholesale,8,34.98,10,,x
5012,2024-03-18,USB-C Hub,Electronics,south,N/A,7,39.06,0,,y
5013,2024-01-03,USB-C Hub,Electronics,,Wholesale,N/A,37.26,5,,y
5014,2024-01-28,Water Bottle,Accessories,Central,,3,15.79,,,y
5015,31-13-2024,Water Bottle,Accessories,North,Wholesale,7,14.98,5,,y
5016,2024-02-21,Backpack,Accessories,North,,-3,64.03,10,,x
5017,2024-11-04,Wireless Mouse,Electronics,NORTH,Online,7,unknown,10,,z
5018,2024-03-14,Backpack,Accessories,West,N/A,8,,0,,x
5019,2024-09-27,Notebook Set,Stationery,North,Wholesale,9,12.24,10,,y
5020,2024-03-26,USB-C Hub,Electronics,north,Online,5,39.5,10,,x
5021,2024-07-24,Office Chair,Furniture,,Wholesale,4,197.06,15,,z
5022,2024-12-20,Office Chair,Furniture,South,N/A,1,184.18,N/A,,x
5023,,Notebook Set,Stationery,north,Wholesale,6,13.61,,,y
5024,2024-06-25,Office Chair,Furniture,North,N/A,10,183.72,15,,z
5025,2024-08-10,Mechanical Keyboard,Electronics, North,N/A,12,69.75,15,,z
5026,2024-02-13,Notebook Set,Stationery,East,N/A,12,,15,,y
5027,2024-08-30,USB-C Hub,Electronics,NORTH,,8,32.61,15,,y
5028,2024-03-12,Notebook Set,Stationery,north,,N/A,12.44,,,z
5029,2024-06-15,Office Chair,Furniture,Central,Wholesale,5,171.5,10,,x
5030,2024-09-13,Water Bottle,Accessories,,,8,13.73,5,,z
5031,2024-03-17,USB-C Hub,Electronics,,Retail,3,31.66,5,,z
5032,2024-02-24,USB-C Hub,Electronics,Central,,6,37.85,N/A,,y
5033,31-13-2024,Wireless Mouse,Electronics,West,,9,24.23,0,,y
5034,2024-09-01,Backpack,Accessories,South,N/A,4,74.32,N/A,,x
5035,2024-03-11,Office Chair,Furniture,Central,Wholesale,5,201.44,,,z
5036,2024-03-03,Mechanical Keyboard,Electronics,north,Wholesale,7,73.42,5,,x
