order_id,order_date,product,category,region,customer_segment,quantity,unit_price,discount_pct,revenue,net_revenue
1969,2024-01-01,Mechanical Keyboard,Electronics,Central,Online,3,69.2,20,207.6,166.08
2613,2024-01-01,Desk Lamp,Furniture,Central,Retail,4,45.9,15,183.6,156.06
1474,2024-01-01,Backpack,Accessories,West,Wholesale,3,58.76,5,176.28,167.47
1758,2024-01-01,Office Chair,Furniture,South,Online,6,192.33,0,1153.98,1153.98
1023,2024-01-01,Standing Desk,Furniture,Central,Online,3,328.37,10,985.11,886.6
3452,2024-01-01,Backpack,Accessories,South,Online,12,61.03,20,732.36,585.89
3653,2024-01-01,Laptop Stand,Electronics,Central,Wholesale,5,48.45,0,242.25,242.25
2512,2024-01-01,Whiteboard,Stationery,West,Online,6,51.25,0,307.5,307.5
3797,2024-01-01,Wireless Mouse,Electronics,West,Retail,3,27.7,0,83.1,83.1
3687,2024-01-01,USB-C Hub,Electronics,Central,Wholesale,4,35.91,5,143.64,136.46
3084,2024-01-02,Backpack,Accessories,West,Wholesale,3,61.05,10,183.15,164.84
3788,2024-01-02,Webcam HD,Electronics,North,Wholesale,9,63.86,0,574.74,574.74
1039,2024-01-02,Standing Desk,Furniture,South,Wholesale,1,390.66,5,390.66,371.13
1054,2024-01-02,Mechanical Keyboard,Electronics,East,Retail,7,69.23,0,484.61,484.61
1469,2024-01-02,Whiteboard,Stationery,East,Online,8,55.75,20,446.0,356.8
3951,2024-01-02,Laptop Stand,Electronics,West,Wholesale,5,42.04,0,210.2,210.2
2779,2024-01-02,Standing Desk,Furniture,Central,Wholesale,5,345.42,0,1727.1,1727.1
3718,2024-01-02,Water Bottle,Accessories,Central,Retail,1,15.25,15,15.25,12.96
3582,2024-01-02,USB-C Hub,Electronics,South,Retail,12,39.68,5,476.16,452.35
3517,2024-01-02,Office Chair,Furniture,East,Retail,4,202.13,0,808.52,808.52
2338,2024-01-02,Pen Pack,Stationery,South,Online,12,7.23,10,86.76,78.08
2230,2024-01-03,Desk Organizer,Accessories,Central,Online,5,22.3,0,111.5,111.5
2060,2024-01-03,Desk Lamp,Furniture,South,Online,10,44.92,5,449.2,426.74
2354,2024-01-03,Bookshelf,Furniture,West,Wholesale,9,135.55,5,1219.95,1158.95
1772,2024-01-04,Laptop Stand,Electronics,West,Online,2,41.85,20,83.7,66.96
2038,2024-01-04,Sticky Notes,Stationery,West,Retail,1,5.47,0,5.47,5.47
1088,2024-01-04,Wireless Mouse,Electronics,West,Wholesale,10,27.85,0,278.5,278.5
3129,2024-01-04,Notebook Set,Stationery,South,Wholesale,2,12.68,0,25.36,25.36
2924,2024-01-04,Mechanical Keyboard,Electronics,Central,Retail,9,85.5,5,769.5,731.02
2346,2024-01-04,Bookshelf,Furniture,Central,Retail,12,122.79,0,1473.48,1473.48
3873,2024-01-04,Desk Organizer,Accessories,South,Wholesale,10,22.89,0,228.9,228.9
3260,2024-01-04,Water Bottle,Accessories,Central,Wholesale,9,14.04,10,126.36,113.72
2974,2024-01-05,Desk Organizer,Accessories,West,Wholesale,9,20.57,0,185.13,185.13
1164,2024-01-05,Backpack,Accessories,East,Online,8,68.87,20,550.96,440.77
2404,2024-01-05,Webcam HD,Electronics,Central,Wholesale,12,68.98,20,827.76,662.21
2664,2024-01-05,Desk Organizer,Accessories,North,Wholesale,6,20.05,0,120.3,120.3
2258,2024-01-05,Standing Desk,Furniture,North,Wholesale,7,340.8,0,2385.6,2385.6
2626,2024-01-05,USB-C Hub,Electronics,Central,Retail,11,33.84,20,372.24,297.79
1342,2024-01-05,Sticky Notes,Stationery,East,Retail,3,5.48,0,16.44,16.44
1783,2024-01-05,Webcam HD,Electronics,South,Wholesale,12,66.0,0,792.0,792.0
2783,2024-01-05,Office Chair,Furniture,South,Online,2,205.85,10,411.7,370.53
1767,2024-01-05,Pen Pack,Stationery,Central,Online,6,8.02,15,48.12,40.9
3178,2024-01-05,Mechanical Keyboard,Electronics,South,Online,4,70.14,0,280.56,280.56
1805,2024-01-06,Notebook Set,Stationery,South,Wholesale,5,11.9,0,59.5,59.5
1498,2024-01-06,Office Chair,Furniture,South,Online,12,167.37,0,2008.44,2008.44
1433,2024-01-06,Sticky Notes,Stationery,West,Retail,6,5.71,0,34.26,34.26
3682,2024-01-06,Standing Desk,Furniture,North,Wholesale,2,334.12,10,668.24,601.42
1756,2024-01-06,Mechanical Keyboard,Electronics,West,Wholesale,3,85.23,0,255.69,255.69
1648,2024-01-06,Sticky Notes,Stationery,Central,Retail,9,4.69,15,42.21,35.88
3555,2024-01-06,Whiteboard,Stationery,Central,Retail,5,54.06,0,270.3,270.3
2650,2024-01-07,Webcam HD,Electronics,South,Retail,2,59.48,10,118.96,107.06
1914,2024-01-07,Webcam HD,Electronics,Central,Wholesale,1,68.41,5,68.41,64.99
1671,2024-01-07,Water Bottle,Accessories,East,Wholesale,9,16.03,10,144.27,129.84
1504,2024-01-07,Laptop Stand,Electronics,North,Retail,9,43.07,0,387.63,387.63
2116,2024-01-07,Whiteboard,Stationery,East,Retail,10,50.82,0,508.2,508.2
3224,2024-01-07,Pen Pack,Stationery,East,Retail,5,8.04,0,40.2,40.2
2597,2024-01-07,Whiteboard,Stationery,North,Online,2,54.1,15,108.2,91.97
2253,2024-01-08,Sticky Notes,Stationery,South,Retail,2,5.51,0,11.02,11.02
2205,2024-01-08,USB-C Hub,Electronics,Central,Retail,3,39.88,15,119.64,101.69
1117,2024-01-08,Standing Desk,Furniture,South,Wholesale,6,340.92,15,2045.52,1738.69
2672,2024-01-08,USB-C Hub,Electronics,West,Retail,10,39.88,0,398.8,398.8
3979,2024-01-08,Notebook Set,Stationery,Central,Wholesale,2,12.55,0,25.1,25.1
3776,2024-01-09,USB-C Hub,Electronics,Central,Retail,5,38.53,15,192.65,163.75
3454,2024-01-09,Standing Desk,Furniture,South,Retail,2,362.42,0,724.84,724.84
3647,2024-01-09,Office Chair,Furniture,North,Online,10,191.18,5,1911.8,1816.21
2705,2024-01-09,Laptop Stand,Electronics,North,Online,2,51.7,10,103.4,93.06
3862,2024-01-09,Desk Organizer,Accessories,Central,Wholesale,7,22.65,10,158.55,142.7
3960,2024-01-09,Sticky Notes,Stationery,South,Retail,12,4.72,10,56.64,50.98
2119,2024-01-09,Laptop Stand,Electronics,North,Retail,2,45.2,5,90.4,85.88
1394,2024-01-09,Wireless Mouse,Electronics,West,Retail,9,22.54,10,202.86,182.57
2884,2024-01-09,Pen Pack,Stationery,West,Wholesale,3,8.87,5,26.61,25.28
3938,2024-01-09,Whiteboard,Stationery,Central,Wholesale,12,51.26,20,615.12,492.1
3400,2024-01-09,Backpack,Accessories,South,Wholesale,10,63.13,0,631.3,631.3
3807,2024-01-10,Water Bottle,Accessories,South,Wholesale,10,16.02,10,160.2,144.18
2250,2024-01-10,Bookshelf,Furniture,West,Online,2,134.15,0,268.3,268.3
1879,2024-01-10,Bookshelf,Furniture,East,Retail,11,127.89,0,1406.79,1406.79
1244,2024-01-10,USB-C Hub,Electronics,Central,Wholesale,7,37.15,0,260.05,260.05
2123,2024-01-10,Webcam HD,Electronics,North,Retail,7,68.72,20,481.04,384.83
2383,2024-01-11,Office Chair,Furniture,East,Retail,3,170.82,20,512.46,409.97
1134,2024-01-11,Bookshelf,Furniture,Central,Online,4,108.78,20,435.12,348.1
2629,2024-01-11,Mechanical Keyboard,Electronics,Central,Retail,5,77.69,20,388.45,310.76
2948,2024-01-11,Pen Pack,Stationery,North,Online,9,7.46,20,67.14,53.71
2159,2024-01-11,USB-C Hub,Electronics,East,Retail,2,39.1,10,78.2,70.38
1544,2024-01-11,Mechanical Keyboard,Electronics,Central,Retail,4,69.19,10,276.76,249.08
1584,2024-01-11,Desk Lamp,Furniture,East,Wholesale,8,36.49,0,291.92,291.92
3673,2024-01-11,Office Chair,Furniture,North,Retail,9,190.24,0,1712.16,1712.16
3268,2024-01-11,USB-C Hub,Electronics,Central,Wholesale,2,34.47,10,68.94,62.05
1626,2024-01-11,Mechanical Keyboard,Electronics,North,Online,1,78.64,0,78.64,78.64
3762,2024-01-11,Water Bottle,Accessories,East,Online,1,17.03,20,17.03,13.62
3521,2024-01-11,Desk Organizer,Accessories,East,Wholesale,9,22.2,5,199.8,189.81
3637,2024-01-12,Whiteboard,Stationery,East,Wholesale,5,50.53,0,252.65,252.65
2533,2024-01-12,USB-C Hub,Electronics,Central,Retail,11,32.57,10,358.27,322.44
3513,2024-01-12,Bookshelf,Furniture,South,Retail,6,135.84,10,815.04,733.54
2848,2024-01-12,Desk Organizer,Accessories,Central,Wholesale,10,21.07,0,210.7,210.7
2202,2024-01-12,Sticky Notes,Stationery,South,Retail,10,5.6,10,56.0,50.4
3984,2024-01-12,Backpack,Accessories,North,Wholesale,2,73.14,15,146.28,124.34
1360,2024-01-12,Mechanical Keyboard,Electronics,East,Online,11,77.98,5,857.78,814.89
1928,2024-01-13,Desk Lamp,Furniture,North,Retail,4,43.09,5,172.36,163.74
3556,2024-01-13,Webcam HD,Electronics,East,Retail,9,65.17,10,586.53,527.88
2025,2024-01-13,Backpack,Accessories,North,Retail,3,70.45,15,211.35,179.65
1002,2024-01-14,Wireless Mouse,Electronics,Central,Online,4,23.09,10,92.36,83.12
2416,2024-01-14,Office Chair,Furniture,Central,Wholesale,12,163.44,0,1961.28,1961.28
1092,2024-01-14,Wireless Mouse,Electronics,Central,Online,10,28.17,0,281.7,281.7
1255,2024-01-14,Water Bottle,Accessories,West,Wholesale,4,13.84,5,55.36,52.59
1797,2024-01-14,Laptop Stand,Electronics,Central,Retail,8,41.57,20,332.56,266.05
2145,2024-01-14,Laptop Stand,Electronics,West,Online,2,48.8,0,97.6,97.6
1283,2024-01-14,Sticky Notes,Stationery,South,Retail,5,4.89,15,24.45,20.78
